keys,en,fr,zh,ja,ko,zh_TW,ru,pl,es,pt,de,tr,it
EFFECT_GOLD_ON_CURSED_ENEMY_KILL_PLURAL,{0} materials when you kill a cursed enemy,{0} matériaux lorsque vous tuez un ennemi maudit,击杀被诅咒的敌人时获得{0}材料,呪い状態の敵を倒すと材料 {0} 個,저주받은 적을 죽일 때 재료 {0}개,殺死受詛咒的敵人時{0}素材,При убийстве проклятого врага дает материалы: {0}.,Zapewnia tyle materiałów po zabiciu przeklętego wroga: {0},{0} materiales al eliminar a un enemigo con maldición,{0} de materiais ao eliminar um inimigo amaldiçoado.,"{0} Materialien, wenn du einen verfluchten Gegner tötest",Lanetli düşman öldürdüğünde {0} malzeme,{0} materiali ottenuti quando uccidi un nemico maledetto.
EFFECT_BONUS_CURRENT_HEALTH_DAMAGE,Deals {0} of an enemy’s current health as bonus damage ({2} for bosses and elites),Inflige {0} des points de vie actuels d’un ennemi de dégâts bonus ({2} pour les boss et les élites),造成敌人当前生命值的{0}以作为奖励伤害（头目和精英怪的{2}）,クリティカルヒットを与えると、敵の現在のヘルスの {0} をボーナスダメージとして与える（ボスとエリートの場合は {2}）,적의 현재 체력의 {0}만큼을 보너스 대미지로 가합니다(보스 및 엘리트 상대로는 {2}만큼),可施加敵人目前生命值{0}的額外傷害（對頭目及菁英怪則為{2}）,Дополнительно наносит урон в размере {0} от текущего здоровья врага ({2} для боссов и элиты).,Zadaje dodatkowe obrażenia równe {0} aktualnych PZ wroga ({2} dla bossów i pot. elit.),Causa un daño equivalente al {0} de la salud actual del enemigo como daño adicional ({2} para jefes y élites),Causa dano bônus equivalente a {0} da vida atual do inimigo ({2} para chefes e elites).,Verursacht {0} des aktuellen Gegnerlebens als Bonusschaden ({2} bei Bossen und Elitegegnern),Düşmanın mevcut canının {0} oranında bonus hasar verir (boss ve elitler için {2}),Infligge un {0} dei PS attuali del nemico come danni aggiuntivi ({2} per boss e miniboss).
EFFECT_LOOT_ALIEN_SPEED,{0} movement speed for loot aliens,{0} vitesse de déplacement pour les extraterrestres transportant du butin,战利品外星人的移动速度{0},戦利品エイリアンの移動スピードが {0},전리품 외계인의 이동 속도 {0},戰利品異形{0}移動速度,{0} к скорости передвижения пришельцев с добычей.,Prędkość ruchu obcych z łupami: {0},{0} de velocidad de movimiento para los alienígenas de botín,{0} de velocidade de movimento para alienígenas do tesouro.,{0} Bewegungstempo für Beute-Aliens,Yağmacı uzaylılar için {0} hareket hızı,{0} alla velocità di movimento per gli alieni con bottino.
EFFECT_RELOAD_WHEN_PICKUP_GOLD,Cooldown is reset when you pick up a material,Le temps de recharge est réinitialisé lorsque vous ramassez un matériau,捡起材料后会重置冷却时间,材料を拾うと、カウントダウンがリセットされます,재료를 획득하면 쿨다운이 초기화됨,撿起素材時會重置冷卻時間,"Восстановление обнуляется, когда вы поднимаете материал.",Czas odnawiania jest resetowany po podniesieniu materiałów,Se reinicia el tiempo de espera al recoger un material,Elimina a recarga ao coletar um material.,Abklingzeit wird beim Aufsammeln von Material zurückgesetzt,Malzeme topladığında bekleme süresi sıfırlanır,Il tempo di ricarica si azzera quando raccogli un materiale.
EFFECT_BONUS_NON_ELEMENTAL_DAMAGE_AGAINST_BURNING_TARGETS,{0} damage from non elemental sources against burning targets,{0} dégâts provenant de sources non élémentaires contre des cibles en feu,对燃烧目标造成非元素来源的{0}伤害,燃えているターゲットに対して非属性ソースから {0} ダメージ,화상 입은 타겟을 상대로 원소가 아닌 자원으로부터 {0} 대미지,對戰燃燒的目標時無屬性來源會造成{0}傷害,{0} к нестихийному урону по горящим целям.,{0} pkt. obrażeń od wszystkiego poza żywiołami podczas walki z płonącymi celami,{0} de daño de fuentes no elementales contra objetivos con quemadura,{0} de dano não-elemental contra alvos com queimadura.,{0} Schaden durch nicht-elementare Quellen gegen brennende Ziele,Elemental olmayan kaynaklardan yanan düşmanlara karşı {0} hasar,{0} ai danni non elementali inflitti ai bersagli con bruciature.
EFFECT_BONUS_WEAPON_CLASS_DAMAGE_AGAINST_CURSED_ENEMIES,{0} damage with {1} weapons against cursed enemies,{0} dégâts avec les armes de type {1} contre les ennemis maudits,使用{1}武器对被诅咒的敌人造成{0}伤害,呪い状態の敵に対して、{1} の武器による {0} ダメージ,저주받은 적을 상대로 {1}개 무기로 {0} 대미지,以武器對戰受詛咒的敵人時會造成{0}傷害,{0} к урону оружия ({1}) по проклятым врагам.,{0} pkt. obrażeń przy korzystaniu z broni {1} podczas walki z przeklętymi przeciwnikami,{0} de daño con armas de clase {1} contra enemigos con maldición,{0} de dano com armas tipo {1} contra inimigos amaldiçoados.,{0} Schaden mit der Waffenklasse {1} gegen verfluchte Gegner,Lanetli düşmanlara karşı {1} silahlarıyla {0} hasar,{0} ai danni inflitti dalla classe {1} ai nemici maledetti.
EFFECT_CRIT_CHANCE_CAP,Crit chance is capped at {0},Votre % Chance Critique est plafonnée à {0},暴击率上限为{0},クリティカル率の上限は {0} です,치명타 확률이 {0}(으)로 한도가 정해져 있음,最大爆擊機率為{0},Шанс критической атаки не более {0}.,Szansa na traf. kryt. jest ograniczona do {0},La probabilidad de críticos se limita a {0},A chance crítica é limitada a {0}.,Die Krit-Chance ist auf {0} limitiert,Maksimum kritik vuruş ihtimali: {0},La probabilità di colpo critico ha un limite massimo di {0}.
EFFECT_ITEM_STEALS,Can steal {0} item per shop,Peut voler {0} objet par boutique,每个商店可窃取{0}个道具,1ショップ当たり {0} アイテム盗めます,상점당 {0}개 아이템을 훔칠 수 있음,每個商店可竊取{0}個道具,Может красть {0} предмет при каждой покупке.,Może ukraść {0} przedmiot na sklep,Roba {0} objeto por tienda,Permite roubar {0} item a cada loja.,Du kannst {0} Item pro Laden klauen,Her dükkânda {0} eşya çalabilirsin,Puoi rubare {0} oggetto per negozio.
EFFECT_ITEM_STEALS_SPAWNS_ENEMY,Stealing from the shop can spawn powerful enemies,Voler dans la boutique peut faire apparaître des ennemis puissants,从商店偷窃会生成强大的敌人,ショップから盗むと強力な敵が出現します,상점에서 아이템을 훔치면 강력한 적이 생성될 수 있음,從商店竊取東西會產生強大的敵人,Кража при покупке может спровоцировать появление сильных врагов.,Kradzież ze sklepu może spowodować pojawianie się potężniejszych przeciwników,Al robar de la tienda pueden aparecer enemigos poderosos,Roubar da loja pode acabar gerando inimigos poderosos.,Das Klauen aus dem Laden kann mächtige Gegner spawnen,Dükândan eşya çalarsan güçlü düşmanlar ortaya çıkabilir,Rubare nei negozi può evocare potenti nemici.
EFFECT_ITEM_STEALS_SPAWNS_ELITE,Stealing from the shop can spawn an elite,Voler dans la boutique peut faire apparaître un élite,从商店偷窃会生成精英怪,ショップから盗むとエリートが出現します,상점에서 아이템을 훔치면 엘리트가 생성될 수 있음,從商店竊取東西會產生菁英怪,Кража при покупке может спровоцировать появление элиты.,Kradzież ze sklepu może spowodować pojawianie się pot. elitarnych,Al robar de la tienda puede aparecer un enemigo de élite,Roubar da loja pode acabar gerando um elite.,Das Klauen aus dem Laden kann Elitegegner spawnen,Dükândan eşya çalarsan bir elit ortaya çıkabilir,Rubare nei negozi può evocare un miniboss.
EFFECT_DISABLE_ITEM_LOCKING,Can't lock items,Ne peut pas verrouiller d'objets,无法锁定道具,アイテムをロックできません,아이템을 잠글 수 없음,無法鎖住道具,Нельзя закрепить предметы,Nie można zachowywać przedmiotów,No puedes bloquear objetos,Não permite travar itens.,Items können nicht gesperrt werden,Eşyalar kilitlenemez,Non puoi bloccare gli oggetti.
EFFECT_EXPLODE_ON_OVERKILL,Enemies taking double their max health as damage explode for {1} ({2}) damage,Les ennemis qui reçoivent le double de leur santé maximale en dégâts explosent pour {1} ({2}) de dégâts,敌人受到双倍于其最大生命值的伤害时会爆炸，造成{1}（{2}）伤害,ダメージが {1}（{2}）ダメージで爆発すると、敵は自身の最大ヘルスの2倍を受けます,적이 최대 체력의 두 배에 해당하는 대미지를 받으면 {1}({2}) 대미지를 주며 폭발함,受到最大生命值雙倍傷害的敵人會爆炸造成{1}（{2}）傷害,"Враги, которые получают урон, вдвое превышающий объем их здоровья, взрываются и наносят {1} урона ({2}).","Wrogowie otrzymujący obrażenia równe dwukrotności maksymalnego zdrowia eksplodują, zadając {1} ({2}) obrażeń",Los enemigos que reciban un daño equivalente al doble de su salud máxima explotan haciendo {1} ({2}) de daño,Causar um dano equivalente ao dobro da vida máxima do inimigo faz ele explodir e causar {1} ({2}) de dano.,"Gegner, die das Doppelte ihrer Max. HP als Schaden erleiden, explodieren für {1} ({2}) Schaden",Maksimum sağlığının iki katı hasar alan düşmanlar {1} ({2}) hasar vererek patlar,I nemici che subiscono danni doppi rispetto ai loro PS max esplodono causando {1} ({2}) danni.
EFFECT_CRATE_CHANCE,{0} chance to find crates,{0} chance de trouver des caisses,有{0}几率找到箱子,{0} の確率で木箱を見つけます,{0} 확률로 상자를 찾음,有{0}機率找到箱子,Шанс обнаружения ящика: {0},{0} szans na znalezienie skrzyń,{0} de probabilidad de encontrar cajas,{0} de chance de encontrar caixas.,"Chance von {0}, Kisten zu finden",{0} ihtimalle sandık bulursun,{0} di probabilità di trovare casse.
EFFECT_LOOT_ALIEN_CHANCE,{0} chance for loot aliens to appear,{0} chance que des extraterrestres portant du butin apparaissent,有{0}几率出现战利品外星人,{0} の確率で戦利品エイリアンが現れます,{0} 확률로 전리품 외계인이 등장함,戰利品異形有{0}機率會現形,Шанс появления пришельцев с добычей: {0},{0} szans na pojawienie się obcych z łupami,{0} de probabilidad de que aparezcan alienígenas de botín,{0} de chance de aparição de alienígenas do tesouro.,"Chance von {0}, dass Beute-Aliens auftauchen",{0} ihtimalle yağmacı uzaylılar ortaya çıkar,{0} di probabilità che compaiano alieni con bottino.
EFFECT_GAIN_STAT_FOR_DUPLICATE_ITEMS,{0} {1} for every duplicate item or weapon you have [{4}],{0} {1} pour chaque objet ou arme en double que vous possédez [{4}],每拥有一件复制道具或武器，将获得{0}{1}[{4}],持っているアイテムや武器[{4}]が重複するごとに {0}{1},가지고 있는 모든 복제 아이템 혹은 무기에 대해 {0} {1} [{4}],每持有一項複製道具或武器便會{0}{1}[{4}],{0} к {1} за каждый дубликат предмета или оружия [{4}].,"{0} {1} za każdy zduplikowany przedmiot lub broń, które posiadasz [{4}]",{0} de {1} por cada objeto o arma duplicados que tengas [{4}],{0} de {1} por cada item ou arma repetida no arsenal [{4}],"{0} {1} für jedes Item- oder Waffenduplikat, das du besitzt [{4}]",Sahip olduğun her kopya eşya veya silah için {0} {1} [{4}],{0} {1} per ogni doppione in tuo possesso [{4}].
EFFECT_CONVERT_BONUS_GOLD,Every {0} uncollected materials are converted into {2} {3} at the end of a wave,Tous les {0} matériaux non collectés sont convertis en {2} {3} à la fin d'une vague,每{0}未收集的材料在敌袭结束后会转换为{2}{3},ウェーブの終わりに、集められなかった材料 {0} 個ごとに、{2} {3} に変換されます,웨이브가 끝날 때 수집되지 않은 모든 {0}개의 재료가 {2} {3}(으)로 전환됨,一波結束時，每{0}個未收集素材會轉換成{2}{3},Каждые {0} несобранных материала превращаются в {2} ({3}) в конце волны.,Każde {0} szt. niezebranych materiałów jest przekształcanych w {3} {2} na koniec fali,Cada {0} materiales sin recoger se convierten en {2} de {3} al final de la oleada,Cada {0} materiais não coletados ao fim de uma onda se converte em {2} de {3}.,Am Ende einer Welle wird jedes {0}. nicht gesammelte Material in {2} {3} umgewandelt,Toplanmamış her {0} malzeme hücum sonunda {2} {3} şeklinde dönüştürülür,I materiali non raccolti vengono convertiti in {2} {3} a gruppi di {0} alla fine di un'ondata.
EFFECT_CONVERT_BONUS_GOLD_TWO,Every {0} uncollected materials are converted into {2} {3} and {4} {5} at the end of a wave,Tous les {0} matériaux non collectés sont convertis en {2} {3} et {4} {5} à la fin d'une vague,每{0}未收集的材料在敌袭结束后会转换为{2}{3}和{4}{5},ウェーブの終わりに、集められなかった材料 {0} 個ごとに、{2} {3} と {4} {5} に変換されます,웨이브가 끝날 때 수집되지 않은 모든 {0}개의 재료가 {2} {3} 및 {4} {5}(으)로 전환됨,一波結束時，每{0}個未收集素材會轉換成{2}{3}和{4}{5},Каждые {0} несобранных материала превращаются в {2} ({3}) и {4} ({5}) в конце волны.,Każde {0} szt. niezebranych materiałów jest przekształcanych w {3} {2} i {5} {4} na koniec fali,Cada {0} materiales sin recoger se convierten en {2} de {3} y {4} de {5} al final de la oleada,Cada {0} materiais não coletados ao fim de uma onda se converte em {2} de {3} e {4} de {5}.,Am Ende einer Welle wird jedes {0}. nicht gesammelte Material in {2} {3} und {4} {5} umgewandelt,Toplanmamış her {0} malzeme hücum sonunda {2} {3} ve {4} {5} şeklinde dönüştürülür,I materiali non raccolti vengono convertiti in {2} {3} e {4} {5} a gruppi di {0} alla fine di un'ondata.
EFFECT_CONVERT_BONUS_GOLD_TWO_WITH_TRACKING,Every {0} uncollected materials are converted into {2} {3} and {4} {5} at the end of a wave [{6}/{7}],Tous les {0} matériaux non collectés sont convertis en {2} {3} et {4} {5} à la fin d'une vague [{6}/{7}],每{0}未收集的材料在敌袭结束后会转换为{2}{3}和{4}{5}[{6}/{7}],ウェーブの終わりに、集められなかった材料 {0} 個ごとに、{2} {3} と {4} {5} に変換されます[{6}/{7}],웨이브가 끝날 때 수집되지 않은 모든 {0}개의 재료가 {2} {3} 및 {4} {5}(으)로 전환됨[{6}/{7}],一波結束時，每{0}個未收集素材會轉換成{2}{3}和{4}{5}[{6}/{7}],Каждые {0} несобранных материала превращаются в {2} ({3}) и {4} ({5}) в конце волны [{6}/{7}].,Każde {0} szt. niezebranych materiałów jest przekształcanych w {3} {2} i {5} {4} na koniec fali ({6}/{7}],Cada {0} materiales sin recoger se convierten en {2} de {3} y {4} de {5} al final de la oleada [{6}/{7}],Cada {0} materiais não coletados ao fim de uma onda se converte em {2} de {3} e {4} de {5} [{6}/{7}].,Am Ende einer Welle wird jedes {0}. nicht gesammelte Material in {2} {3} und {4} {5} umgewandelt [{6}/{7}],Toplanmamış her {0} malzeme hücum sonunda {2} {3} ve {4} {5} şeklinde dönüştürülür [{6}/{7}],I materiali non raccolti vengono convertiti in {2} {3} e {4} {5} a gruppi di {0} alla fine di un'ondata [{6}/{7}].
STRUCTURE_PERCENT_DAMAGE,% Structure Damage,% Dégats des Structures,%构筑物伤害,%構造物ダメージ,% 구조 대미지,%結構物傷害,% урона построек,% obr. budowli,% de daño de estructuras,% do dano de estrutura,% Konstruktionsschaden,% Yapı Hasarı,% danni delle strutture
EFFECT_CHARM_BELOW_HP,Hitting an enemy that has less than {0} health has a {1} ({2}) chance to charm it for {3} seconds,Frapper un ennemi qui a moins de {0} points de vie a {1} ({2}) de chances de le charmer pendant {3} secondes,击中生命值低于{0}的敌人时，有{1}（{2}）的几率使其在{3}秒内受到魅惑,HPが {0} 以下の敵を攻撃すると、{1} （{2}）の確率で {3} 秒間、魅了します,체력이 {0} 미만인 적을 타격하면 {1}({2}) 확률로 {3}초 동안 매혹시킴,每命中一個生命值低於{0}的敵人便有{1}（{2}）機率魅惑他{3}秒,"Удар по врагу, уровень здоровья которого ниже {0}, с шансом {1} ({2}) способен зачаровать его на {3} сек.","Trafienie wroga, który ma mniej niż {0} zdrowia, zapewnia {1} ({2}) szans na zauroczenie go na {3} s","Al golpear a un enemigo que tenga menos de {0} de salud, existe un {1} ({2}) de probabilidad de encantarlo durante {3} segundos",Acertar um inimigo que tenha menos de {0} de vida tem {1} ({2}) de chance de encantá-lo por {3} segundos.,"Ein Treffer gegen einen Gegner, der weniger als {0} Leben hat, hat eine Chance von {1} ({2}), ihn {3} Sekunden lang zu betören",Sağlığı {0} altında bir düşmana vurduğunda {1} ({2}) ihtimalle {3} saniyeliğine onu büyüleyebilirsin,{1} ({2}) di probabilità di ammaliare per {3} secondi un nemico con salute inferiore a {0} quando lo colpisci.
EFFECT_CHARM_BELOW_HP_NO_SCALING,Hitting an enemy that has less than {0} health has a {1} chance to charm it for {3} seconds,Frapper un ennemi qui a moins de {0} points de vie a {1} de chances de le charmer pendant {3} secondes,击中生命值低于{0}的敌人时，有{1}的几率使其在{3}秒内受到魅惑,HPが {0} 以下の敵を攻撃すると、{1} の確率で {3} 秒間、魅了します,체력이 {0} 미만인 적을 타격하면 {1} 확률로 {3}초 동안 매혹시킴,每命中一個生命值低於{0}的敵人便有{1}機率魅惑他{3}秒,"Удар по врагу, уровень здоровья которого ниже {0}, с шансом {1} способен зачаровать его на {3} сек.","Trafienie wroga, który ma mniej niż {0} zdrowia, zapewnia {1} szans na zauroczenie go na {3} s","Al golpear a un enemigo que tenga menos de {0} de salud, existe un {1} de probabilidad de encantarlo durante {3} segundos",Acertar um inimigo que tenha menos de {0} de vida tem {1} de chance de encantá-lo por {3} segundos.,"Ein Treffer gegen einen Gegner, der weniger als {0} Leben hat, hat eine Chance von {1}, ihn {3} Sekunden lang zu betören",Sağlığı {0} altında bir düşmana vurduğunda {1} ihtimalle {3} saniyeliğine onu büyüleyebilirsin,{1} di probabilità di ammaliare per {3} secondi un nemico con salute inferiore a {0} quando lo colpisci.
EFFECT_CHARM_ON_HIT,Hitting an enemy has a {0} chance to charm it for {3} seconds,Frapper un ennemi a {0} de chance de le charmer pendant {3} secondes,击中敌人时，有{0}的几率使其在{3}秒内受到魅惑,敵を攻撃すると、{0} の確率で {3} 秒間、魅了します,적을 타격하면 {0} 확률로 {3}초 동안 매혹시킴,每命中一個敵人便有{0}機率魅惑他{3}秒,Удар по врагу с шансом {0} способен зачаровать его на {3} сек.,Trafienie wroga zapewnia {0} szans na zauroczenie go na {3} s,"Al golpear a un enemigo, existe un {0} de probabilidad de encantarlo durante {3} segundos",Acertar um inimigo tem {0} de chance de encantá-lo por {3} segundos.,"Ein Treffer gegen einen Gegner hat eine Chance von {0}, ihn {3} Sekunden lang zu betören",Bir düşmana vurduğunda {0} ihtimalle {3} saniyeliğine onu büyüleyebilirsin,{0} di probabilità di ammaliare per {3} secondi un nemico quando lo colpisci.
EFFECT_GAIN_STAT_FOR_FREE_WEAPON_SLOTS,{0} {1} for every free weapon slot you have [{4}],{0} {1} pour chaque emplacement d'arme libre dont vous disposez [{4}],每有一个空闲的武器栏，将获得{0}{1}[{4}],開いている武器スロットごとに {0} {1} [{4}],가지고 있는 모든 빈 무기 슬롯에 대해 {0} {1} [{4}],每擁有一個空閒的武器欄位就{0}{1}[{4}],{0} ({1}) за каждую пустую ячейку оружия [{4}].,{1} {0} za każde posiadane puste pole broni [{4}],{0} de {1} por cada ranura de arma libre que tengas [{4}],{0} de {1} para cada espaço de arma vazio [{4}].,{0} {1} für jeden freien Waffenslot [{4}],Sahip olduğun her boş silah yuvası için {0} {1} [{4}],{0} {1} per ogni spazio per arma vuoto in tuo possesso [{4}].
EFFECT_WEAPON_DAMAGE_FOR_FREE_WEAPON_SLOTS,Deals {0} {1} for every free weapon slot you have [{4}],Inflige {0} {1} pour chaque emplacement d'arme libre dont vous disposez [{4}],每有一个空闲的武器栏，将造成{0}{1}[{4}],開いている武器スロットごとに {0} {1} を付与 [{4}],가지고 있는 모든 빈 무기 슬롯에 대해 {0} {1} 가함[{4}],每擁有一個空閒的武器欄位就造成{0}{1}[{4}],Наносит {0} ({1}) за каждую пустую ячейку оружия [{4}].,Zadaje {1} {0} za każde posiadane puste pole broni [{4}],Causa {0} de {1} por cada ranura de arma libre que tengas [{4}],Causa {0} de {1} para cada espaço de arma vazio [{4}].,Verursacht {0} {1} für jeden freien Waffenplatz [{4}],Sahip olduğun her boş silah yuvası için {0} {1} hasar verir [{4}],Infligge {0} {1} per ogni spazio per arma vuoto in tuo possesso [{4}].
EFFECT_LOSE_MATERIALS_PER_LIVING_ENEMY,Lose {0} material for every living enemy at the end of a wave,Perdez {0} matériaux pour chaque ennemi vivant à la fin d'une vague,在敌袭结束后，每有1个活着的敌人，你会失去{0}材料,ウェーブの終わりに、生きている敵ごとに材料 {0} 個とXPを失います,웨이브가 끝날 때 살아있는 모든 적에 대해 재료 {0}개를 잃음,敵襲結束後每有一個敵人存活就會失去{0}個素材,Вы теряете {0} ед. материалов за каждого живого врага в конце волны.,Tracisz {0} szt. materiałów za każdego żywego wroga na koniec fali,Pierdes {0} de material por cada enemigo con vida al final de una oleada,Perde {0} de material por inimigo vivo ao fim de uma onda.,Verliere {0} Material für jeden lebenden Gegner am Ende einer Welle,Bir hücum sonunda hayattaki her düşman başına {0} malzeme kaybedersin,"Alla fine di un'ondata, perdi {0} materiali per ogni nemico vivo."
EFFECT_NEGATIVE_KNOCKBACK,Knockback always pulls enemies towards you,La poussée attire toujours les ennemis vers vous,击退总会将敌人拉向你,ノックバックで常に敵を自分の方に引き寄せます,넉백이 항상 나를 향해 적을 당김,擊退常常反而將敵人拉向你,Отталкивание всегда притягивает врагов к вам.,Odrzucanie zawsze przyciąga wrogów do ciebie,Los derribos siempre atraen a los enemigos hacia ti,O empurrão passa a puxar os inimigos na sua direção.,Rückstoß zieht Gegner immer zu dir,İtme eylemi düşmanları sana doğru çeker,La respinta attira sempre i nemici verso di te.
EFFECT_MELEE_WEAPON_BONUS,{0} {1} with melee weapons,{0} {1} avec des armes de mêlée,使用近战武器时有{0}{1},近接武器で {0} {1},근거리 무기에 {0} {1},使用近距離武器時會{0}{1},{0} к параметру «{1}» оружия ближнего боя.,"{1} {0}, gdy korzystasz z broni do walki wręcz",{0} de {1} con armas cuerpo a cuerpo,{0} de {1} com armas corpo a corpo.,{0} {1} mit Nahkampfwaffen,Yakın saldırı silahlarıyla {0} {1},{0} {1} con le armi da mischia.
EFFECT_SCALE_MATERIALS_WITH_DISTANCE,You get {0} to {1} materials from enemies you kill based on their proximity to you,Vous obtenez {0} à {1} matériaux des ennemis que vous tuez en fonction de leur proximité avec vous,击杀敌人后，你会根据他们与你的距离获得{0}到{1}不等的材料,倒した敵から、その敵との距離に応じて {0} ～ {1} 個の材料が手に入ります,죽인 적과의 거리에 따라 죽인 적으로부터 {0}에서 {1} 재료를 얻음,根據殺死的敵人與你的距離，你可以從他們那裡得到{0}到{1}項素材,Вы получаете от {0} до {1} материалов за каждого убитого врага в зависимости от расстояния до него.,"Zabici wrogowie zapewniają ci od {0} do {1} szt. materiałów, zależnie od tego, w jakiej odległości od nich się znajdujesz",Obtienes entre {0} y {1} de materiales con los enemigos que elimines en función de lo cerca que estuvieran de ti,Você ganha {0} a {1} materiais de inimigos eliminados de acordo com a distância deles de você.,"Du erhältst {0} bis {1} Materialien von getöteten Gegnern, je nachdem, wie nah sie dir sind",Öldürdüğün düşmanların sana olan yakınlığına göre {0} ve {1} arası malzeme alırsın,Ottieni da {0} a {1} materiali dai nemici uccisi in base alla loro vicinanza a te.
EFFECT_CURSE_LOCKED_ITEMS,Locked items and weapons have a {0} chance to become cursed when leaving the shop,Les objets et armes verrouillés ont {0} de chances d'être maudits lorsque vous quittez la boutique,离开商店时，锁定的道具和武器有{0}的几率受到诅咒,店から出る際に、{0} の確率でロック状態のアイテムや武器が呪い状態になります,상점을 떠날 때 잠긴 아이템과 무기가 {0} 확률로 저주받음,離開商店時，鎖住的道具和武器有{0}機率變成受詛咒,Закрепленные предметы и оружие с шансом в {0} могут стать проклятыми при выходе из магазина.,"Zablokowane przedmioty i bronie mają {0} szans na zostanie przeklętymi po tym, jak opuścisz sklep.",Los objetos y las armas bloqueados tienen un {0} de probabilidad de sufrir una maldición al salir de la tienda,Armas e itens travados tem {0} de chance de se tornarem amaldiçoados ao sair da loja.,"Gesperrte Items und Waffen haben eine Chance von {0}, beim Verlassen des Ladens verflucht zu werden",Kilitli eşyalar ve silahlar dükkândan ayrılırken {0} ihtimalle lanetlenebilir,{0} di probabilità che le armi e gli oggetti bloccati vengano maledetti quando esci dal negozio.
EFFECT_GOLDFISH_USED,This goldfish is resting after a hard day's work,Ce poisson rouge se repose après une dure journée de travail,这条金鱼辛苦工作了一天之后，正在休息,この金魚は一日の仕事を終えて休んでいる,이 금붕어는 고된 하루의 일을 끝내고 휴식 중입니다,辛苦工作了一天後，這隻金魚正在休息,Эта золотая рыбка отдыхает после тяжелого рабочего дня.,Ta złota rybka odpoczywa po całym dniu ciężkiej pracy,Esta carpa dorada está descansando después de dejarse las escamas trabajando,Este peixe-dourado está descansando após um dia daqueles.,Dieser Goldfisch ruht sich nach einem harten Arbeitstag aus,Japon balığı zorlu bir günün ardından dinleniyor,Questo pesce rosso si riposa dopo una dura giornata di lavoro.
EFFECT_INCREASE_TIER_ON_REROLL,Items will be {0} tier higher after the next reroll,Les objets seront d'{0} grade supérieur après la prochaine randomisation,道具将在下次刷新后提升{0}个级别,次のリロール後、アイテムが {0} ティア高いものになります,아이템은 다음 초기화 후에 {0} 등급 더 높아질 겁니다,下次重骰後，道具會提升{0}級,После следующей замены предметы поднимаются на {0}-й класс.,Po następnym przerzuceniu poziom przedmiotów będzie o tyle wyższy: {0},Los objetos serán de {0} categoría más alta tras la siguiente repetición,Os itens ganham {0} grau após a próxima renovação.,"Items sind nach dem nächsten ""Neu würfeln"" {0} Stufe besser",Sıradaki yenilemeden sonra eşyalar {0} seviye yükselir,La categoria degli oggetti sarà superiore di {0} dopo il prossimo cambio.
EFFECT_WEAPONS_RELOAD_WHEN_PICKUP_GOLD,Picking up a material resets the cooldown of all your weapons,Ramasser un matériau réinitialise le temps de recharge de toutes vos armes,捡起材料将重置你所有武器的冷却时间,材料を拾うと、持っているすべての武器のクールダウンがリセットされます,재료를 획득하면 모든 무기의 쿨다운이 초기화됩니다,撿起素材會重置你所有武器的冷卻時間,"Когда вы поднимаете предмет, восстановление всего оружия обнуляется.",Podniesienie materiału resetuje czas odnawiania wszystkich broni,Reinicia el tiempo de espera de todas tus armas al recoger un material,Coletar um material elimina a recarga de todas as suas armas.,"Wenn du Material aufsammelst, wird die Abklingzeit all deiner Waffen zurückgesetzt",Malzeme topladığında tüm silahların bekleme süresi sıfırlanır,"Quando raccogli un materiale, il tempo di ricarica di tutte le tue armi si azzera."
EFFECT_INCREASE_MATERIAL_VALUE,Picked up materials have {0} value,Les matériaux récupérés ont {0} de valeur,捡起的材料有{0}价值,拾った材料は {0} の値になります,획득한 재료가 {0} 가치를 가집니다,撿起具有{0}價值的素材,Поднятые материалы получают {0} к ценности.,Wartość podniesionych materiałów: {0},Los materiales recogidos tienen un {0} de valor,Os materiais coletados têm {0} de valor.,Wert von aufgesammelten Materialien {0},Toplanan malzemelerin değeri {0} olur,{0} al valore dei materiali raccolti.
EFFECT_RELOAD_TURRETS_ON_SHOOT,Resets the cooldown of all offensive turrets when attacking,Attaquer réinitialise le temps de recharge de toutes les tourelles offensives,攻击时重置所有攻击型炮塔的冷却时间,攻撃時、すべての攻撃タレットのクールダウンがリセットされます,공격 시 모든 공격적인 포탑의 쿨다운을 초기화합니다,攻擊時會重置所有攻擊砲台的冷卻時間,Обнуляет восстановление всех защитных турелей при атаке.,Resetuje czas odnawiania wszystkich wieżyczek ofensywnych podczas ataku,Reinicia el tiempo de espera de todas las torretas ofensivas al atacar,Elimina a recarga de todas as torretas ofensivas ao atacar.,Setzt beim Angreifen die Abklingzeit aller offensiven Geschütze zurück,Saldırı yaparken tüm saldırı taretlerinin bekleme süresi sıfırlanır,"Quando attacchi, il tempo di ricarica di tutte le torrette offensive si azzera."
