"keys","en","fr","zh","ja","ko","zh_TW","ru","pl","es","pt","de","tr","it"
"EFFECT_TREES_PLURAL","A lot more trees spawn","Beaucoup plus d'arbres apparaissent","生成更大量的树木","樹木の出現数が大幅に増加する","아주 많은 나무가 생성됨","生成更多樹木","Появляется намного больше деревьев.","Pojawia się o wiele więcej drzew","Aparecen un montón de árboles más","Gera muito mais árvores.","Es spawnen deutlich mehr Bäume","Çok daha fazla ağaç ortaya çıkar","Sulla mappa compaiono molti più alberi."
"EFFECT_EXTRA_LOOT_ALIENS","{0} additional loot aliens appear every wave","{0} extraterrestres portant du butin additionnels apparaissent à chaque vague","每次敌袭会多出现{0}个战利品外星人","各ウェーブで戦利品エイリアンが追加で {0}体出現する","매 웨이브 전리품 외계인이 {0}만큼 추가로 등장","每波對戰會出現{0}個額外戰利品異形","Каждую волну дополнительно появляются пришельцы с добычей ({0}).","W każdej fali pojawiać się będzie tylu dodatkowych obcych z łupami: {0}","Aparecen {0} alienígenas de botín adicionales en cada oleada","{0} de alienígenas do tesouro adicionais em todas as ondas.","{0} zusätzliche Beute-Aliens erscheinen während jeder Welle","Her hücumda fazladan {0} yağmacı uzaylı gelir","{0} alieni con bottino aggiuntivi durante ogni ondata."
"EFFECT_STRONGER_ELITES_ON_KILL","All future elites and bosses become stronger when you kill an elite or a boss","Tous les futurs élites et boss deviennent plus forts lorsque vous tuez un élite ou un boss","当你击杀一个精英怪或头目时，所有未来的精英怪和头目都会变更强","エリートやボスを倒す度、以降出現するエリートとボスが強化される","엘리트 혹은 보스를 죽이면 모든 향후 엘리트 및 보스가 더 강해짐","你每殺死一個菁英或頭目，所有未來的菁英和頭目都會變得更強大一些","Все последующие элитные враги и боссы становятся сильнее, когда вы убиваете элитного врага или босса.","Po tym, jak uda ci się zabić pot. elitarnego lub bossa wszystkie przyszłe pot. elitarne i bossy stają się silniejsze","Los próximos enemigos de élite y jefes se vuelven más fuertes al eliminar a otros enemigos de élite y jefes","Todos os elites e chefes futuros se tornam mais fortes quando você elimina um elite ou um chefe.","Alle künftigen Elitegegner und Bosse werden stärker, wenn du einen Elitegegner oder Boss tötest","Bir elit veya boss öldürdüğünde karşılaşacağın diğer tüm elit ve bosslar daha güçlü olur","Uccidendo un miniboss o un boss, rafforzi tutti i miniboss e boss futuri."
"EFFECT_STRONGER_LOOT_ALIENS_ON_KILL","All future loot aliens become stronger when you kill a loot alien","Tous les futurs extraterrestres portant du butin deviennent plus forts lorsque vous tuez un extraterrestre portant du butin","当你击杀一个战利品外星人时，所有未来的战利品外星人都会变得更强","戦利品エイリアンを倒す度、以降出現する戦利品エイリアンが強化される","전리품 외계인을 죽이면 모든 향후 전리품 외계인이 더 강해짐","你每殺死一個戰利品異形，所有未來的戰利品異形都會變得更強大一些","Все последующие пришельцы с добычей становятся сильнее, когда вы убиваете пришельца с добычей.","Po zabiciu obcego z łupami wszyscy przyszli obcy z łupami stają się silniejsi","Los próximos alienígenas de botín se vuelven más fuertes al eliminar a otros alienígenas de botín","Todos os alienígenas do tesouro futuros se tornam mais fortes quando você elimina um alienígena do tesouro.","Alle künftigen Beute-Aliens werden stärker, wenn du ein Beute-Alien tötest","Bir yağmacı uzaylı öldürdüğünde karşılaşacağın diğer tüm yağmacı uzaylılar daha güçlü olur","Uccidendo un alieno con bottino, rafforzi tutti gli alieni con bottino futuri."
"EFFECT_EXPLODE_AND_BURN_ON_CONSUMABLE","Consumables explode for {4}x{5} ({6}) burning damage when picked up","Les consommables explosent et infligent {4}x{5} ({6}) de dégâts de brûlure lorsqu'ils sont ramassés","捡起消耗品时，它会爆炸并造成{4}x{5}（{6}）燃烧伤害","消耗品を拾うと {4}x{5}（{6}）の炎上ダメージを与える爆発を発生させる","소모품은 획득되면 {4}x{5}({6}) 화상 대미지를 주며 폭발함","被撿起的消耗品爆炸時會造成{4}x{5}（{6}）的燃燒傷害","Расходники взрываются и наносят {4}x{5} урона горения ({6}), когда вы их поднимаете.","Znajdźki eksplodują i zadają {4}x{5} ({6}) obrażeń przy podnoszeniu","Los consumibles explotan causando {4}x{5} ({6}) de daño por quemadura al recogerlos","Os consumíveis explodem e causam {4}x{5} ({6}) de dano de queimadura ao serem coletados.","Verbrauchsgegenstände explodieren beim Aufsammeln und verursachen {4}x{5} ({6}) Brandschaden","Toplanan tüketilebilir eşyalar patlayarak {4}x{5} ({6}) yanma hasarı verir","Quando li raccogli, i materiali consumabili esplodono infliggendo {4}x{5} ({6}) danni da bruciatura."
"EFFECT_BUILDER_TURRET","You start with a special turret that mimics your best weapon's projectiles and scales with {4}","Vous commencez avec une tourelle spéciale qui imite les projectiles de votre meilleure arme et est basée sur {4}","你在开始时拥有一个特殊炮塔，它会模仿你最强武器的投射物，并随着{4}升级","最強武器の発射物を模倣し、{4} で拡大した特殊タレットで開始します","최고 무기의 발사체를 모방하며 {4}에 비례해 증가하는 특별 포탑과 함께 시작","最先開始的是一個特殊的炮塔，它會模仿你最佳武器的投射物，並具有相稱的{4}","Начните с особой турелью, которая копирует снаряды вашего лучшего оружия. На урон влияет {4}.","Zacznij od specjalnej wieżyczki, która naśladuje pociski twojej najlepszej broni i skaluje się z: {4}","Empiezas con una torreta especial que replica los proyectiles de tu mejor arma y las potencia con {4}","Você começa com uma torreta especial que imita os projéteis da sua melhor arma e escala com {4}.","Beginne mit einem Spezialgeschütz, das die Projektile deiner besten Waffe nachahmt und mit {4} skaliert","En iyi silahının roketlerini ateş edebilen özel bir taret olarak başlar ve {4} katına çıkar","Inizi con una torretta che imita i proiettili della tua arma migliore e i cui danni si basano sul parametro {4}."
"EFFECT_NO_STRUCTURES","You can't have structures","Vous ne pouvez pas avoir de structures","你无法建造构筑物","他の建造物は取得不可","구조를 보유할 수 없음","你無法擁有結構物","Нельзя разместить постройки","Nie możesz mieć budowli","No puedes tener estructuras","Você não pode ter nenhuma estrutura.","Du kannst keine Konstruktionen haben","Yapı kuramazsın","Non puoi avere strutture."
"ITEM_BUILDER_TURRET","Builder's Turret","Tourelle du Constructeur","建造者的炮塔","建築家の砲塔","건축업자의 포탑","建築工人的砲台","Турель Строителя","Wieżyczka Budowniczego","Torreta del Constructor","Torreta do Construtor","Baumeister-Geschütz","İnşaatçının Tareti","Torretta del Costruttore"
"ITEM_BUILDER_TURRET_0","Builder's Turret","Tourelle du Constructeur","建造者的炮塔","建築家の砲塔","건축업자의 포탑","建築工人的砲台","Турель Строителя","Wieżyczka Budowniczego","Torreta del Constructor","Torreta do Construtor","Baumeister-Geschütz","İnşaatçının Tareti","Torretta del Costruttore"
"EFFECT_BUILDER_TURRET_ALT","This turret's stats are derived from your best ranged weapon's base stats and scale with {4} ({5})","Les statistiques de cette tourelle sont dérivées des statistiques de base de votre meilleure arme à distance et se basent sur {4} ({5})","此炮塔的属性基于你最佳远程武器的基础属性，并随着{4}（{5}）升级","所持している中で最も強力な遠距離武器（{5}）の性能をコピーする（ダメージは {4}を参照する）","이 포탑의 스탯은 당신의 최고 원거리 무기의 기본 스탯에서 비롯되며 {4} ({5})에 비례해 증가합니다","此砲塔的屬性基於你最佳遠程武器的基礎屬性，並隨著{4}（{5}）變強","Параметры этой турели основаны на базовых характеристиках вашего лучшего дальнобойного оружия. На них влияет {4} ({5})","Statystyki tej wieżyczki pochodzą z bazowych statystyk twojej najlepszej broni dystansowej i skalują się z {4} ({5})","Las estadísticas de esta torreta se derivan de las estadísticas base de tu mejor arma a distancia y se potencian con {4} ({5})","As estatísticas desta torreta são derivadas das estatísticas base da sua melhor arma de longo alcance e escalam com {4} ({5})","Die Werte dieses Geschützes sind von den Basiswerten deiner besten Fernkampfwaffe abgeleitet und skalieren mit {4} ({5})","Bu tarete, en iyi menzilli silahının temel istatistiklerini alır ve {4} ({5}) ile güçlenir","Le statistiche di questa torretta sono derivate dalle statistiche base della tua migliore arma a distanza e si basano su {4} ({5})"
"EFFECT_BUILDER_TURRET_UPGRADE","{0} {1} when you reach {2} {3} [{4}/{5}]","{0} {1} lorsque vous atteignez {2} {3} [{4}/{5}]","达到{2} {3} 时{0} {1} [{4}/{5}]","{3}が{2}に達すると{1} {0} [{4}/{5}]","{2} {3}에 도달하면 {0} {1} [{4}/{5}]","達到{2} {3} 時{0} {1} [{4}/{5}]","{0} {1}, когда достигается {2} {3} [{4}/{5}]","{0} {1} gdy osiągniesz {2} {3} [{4}/{5}]","{0} {1} cuando alcances {2} {3} [{4}/{5}]","{0} {1} quando alcançar {2} {3} [{4}/{5}]","{0} {1} wenn du {2} {3} erreichst [{4}/{5}]","{0} {1} {2} {3} ulaştığında [{4}/{5}]","{0} {1} quando raggiungi {2} {3} [{4}/{5}]."
"BG_SHIPWRECK","Shipwreck","Épave","沉船","難破船","난파선","沉船","Кораблекрушение","Wrak","Barco Hundido","Naufrágio","Schiffswrack","Enkaz","Relitto"
"BG_ABYSS","Abyss","Abysses","深渊","深淵","심해","深淵","Бездна","Otchłań","Abismo","Abismo","Abyssus","Uçurum","Abisso"
"ACTIVATIONS","Activations: {0}","Activations : {0}","激活次数：{0}","発動回数：{0}","발동 횟수: {0}","觸發次數：{0}","Срабатывания: {0}","Aktywacje: {0}","Activaciones: {0}","Ativações: {0}","Aktivierungen: {0}","Etkinleştirmeler: {0}","Attivazioni: {0}"
"LEVELS_AFFECTED","Levels affected: {0}","Niveaux affectés : {0}","受影响的等级：{0}","影響を受けたレベル：{0}","영향을 받은 레벨: {0}","受影響的等級：{0}","Затронутые уровни: {0}","Poziomy dotknięte: {0}","Niveles afectados: {0}","Níveis afetados: {0}","Betroffene Level: {0}","Etkilenen seviyeler: {0}","Livelli influenzati: {0}"
"ITEMS_FOUND","Items found: {0}","Objets trouvés : {0}","找到的道具：{0}","発見したアイテム数：{0}","발견된 아이템: {0}","找到的道具：{0}","Найдено предметов: {0}","Znalezione przedmioty: {0}","Objetos encontrados: {0}","Itens encontrados: {0}","Gefundene Items: {0}","Bulunan eşyalar: {0}","Oggetti trovati: {0}"
"KEYART_ABYSSAL_TERRORS","Abyssal Terrors","Abyssal Terrors","深海魔怪","Abyssal Terrors","심해 공포","深海魔怪","Abyssal Terrors","Abyssal Terrors","Terrores abisales","Terrores Abissais","Schrecken der Tiefe","Abyssal Terrors","Terrori degli abissi"
"ANEMONE_NAME","Anemone","Anémone","海葵","アネモネ","말미잘","海葵","Актиния","Anemon","Anémona","Anêmona","Anemone","Anemon","Anemone"
"ANEMONE_BEHAVIOUR_DESCRIPTION","Wanders slowly and creates a circle of projectiles around that move towards itself. ","Se déplace lentement et fait apparaître un cercle de projectiles qui se rapproche d'elle-même. ","缓慢游荡，生成一圈向自身移动的投射物。","ゆっくりと動き回り、自身に向かって飛ぶ弾を周囲に出現させる。 ","천천히 돌아다니며 주위에 자신을 향해 이동하는 투사체의 원을 생성합니다. ","緩慢遊蕩，生成一圈向自身移動的投射物。","Медленно блуждает и создает рядом кольца снарядов, которые сходятся к центру. ","Wędruje powoli i tworzy wokół kręgi pocisków, które zbliżają się ku sobie. ","Se desplaza despacio y crea un círculo de proyectiles a su alrededor que se mueven hacia ella. ","Vaga lentamente e cria um círculo de projéteis que se move em direção a si. ","Wandert langsam und erschafft einen Projektilkreis, der immer kleiner wird. ","Yavaşça dolaşır ve etrafında kendisine doğru hareket eden bir mermi çemberi oluşturur. ","Vaga lentamente e crea un cerchio di proiettili attorno a sé che si muovono verso di sé. "
"ANGLERFISH_NAME","Anglerfish","Baudroie","安康鱼","アングラーフィッシュ","아귀","安康魚","Удильщик","Żabnica","Rape abisal","Peixe-pescador","Angelfisch","Fener Balığı","Rana pescatrice"
"ANGLERFISH_BEHAVIOUR_DESCRIPTION","Wanders slowly around until a player comes close, then will chase it charging up to 3 times before briefly stopping and charge again.","Se déplace lentement jusqu'à ce qu'un joueur s'approche. Elle le pourchasse alors et le charge jusqu'à 3 fois avant de s'arrêter brièvement et de charger à nouveau.","缓慢游荡，直到玩家靠近，此时会追逐玩家、最多冲刺3次，短暂停下后再继续冲刺。","ゆっくりと動き回る。プレイヤーが近づくと追いかけ、最大3回突進する。突進後は短時間停止し、ふたたび突進する。","천천히 돌아다니다가 플레이어가 가까이 다가오면 최대 3번까지 돌진하며 추적합니다. 이후 잠시 멈췄다가 다시 돌진합니다.","緩慢遊蕩，直到玩家靠近，此時會追逐玩家、最多衝刺3次，短暫停下後再繼續衝刺。","Медленно блуждает, пока рядом не окажется игрок. После этого преследует игрока и бросается до 3 раз, затем ненадолго останавливается и бросается снова.","Wędruje powoli wkoło, póki postać gracza się nie zbliży. Kiedy to nastąpi, zacznie ją gonić i przypuści szarżę do 3 razy, po czym zatrzyma się na chwilę i ponownie przypuści szarżę.","Se desplaza despacio hasta que un jugador se le acerca, momento en el que lo persigue y lo embiste hasta 3 veces antes de parar un momento y volver a embestirlo.","Vaga lentamente ao redor até que o jogador se aproxime, então, o perseguirá e avançará até 3 vezes antes de parar por um momento e avançar mais uma vez.","Wandert langsam umher, bis sich ein Spieler nähert, verfolgt diesen dann und stürmt bis zu 3 Mal auf ihn zu, bis er kurz stoppt und erneut heranstürmt.","Bir oyuncu ona yaklaşana kadar yavaşça dolaşır, ardından oyuncuyu kovalayarak kısa bir süre durmadan önce en fazla 3 defa hücum eder ve tekrar hücuma başlar.","Vaga lentamente finché un giocatore non si avvicina, poi lo insegue caricando fino a 3 volte, si ferma per un istante e carica di nuovo."
"BAT_NAME","Bat","Chauve-souris","蝙蝠","コウモリ","박쥐","蝙蝠","Летучая мышь","Nietoperz","Murciélago","Morcego","Fledermaus","Yarasa","Pipistrello"
"BAT_BEHAVIOUR_DESCRIPTION","Mutation 0:
Closes in on the player and spawns a circle of projectiles around them. These projectiles move toward the player at varying speeds before disappearing.

Mutation 1 (60%HP/25 sec):
Closes in on the player and fires a twisting circle of projectiles from itself toward the player.","Mutation 0 :
S'approche du joueur et fait apparaître un cercle de projectiles autour de lui. Ces projectiles se déplacent vers le joueur à diverses vitesses avant de disparaître.

Mutation 1 (60 % de PV/25 s) :
S'approche du joueur et tire un cercle tourbillonnant de projectiles partant d'elle-même vers le joueur.","异变0：
接近玩家，在其周围生成一圈投射物。这些投射物会以不同速度向玩家移动直到消失。

异变1 （60%生命/25秒）：
接近玩家，并从自身位置发射一圈扭曲的投射物飞向玩家。","変異0：
プレイヤーに近づき、プレイヤーの周囲に弾を円状に発生させる。各弾はそれぞれ異なる速度でプレイヤーに向かい、消滅する。

変異1（HP60%/25秒）：
プレイヤーに近づき、自身からプレイヤーに向けてねじれた円状に弾を発射する。","돌연변이 0:
플레이어에게 접근하고 플레이어 주위에 투사체의 원을 생성합니다. 이들 투사체는 각기 다른 속도로 플레이어를 향해 이동하다가 사라집니다.

돌연변이 1 (60%HP/25초):
플레이어에게 접근하고, 자신으로부터 플레이어를 향해 빙빙 돌며 이동하는 투사체의 원을 발사합니다.","異變0：
接近玩家，在其周圍生成一圈投射物。這些投射物會以不同速度向玩家移動直到消失。

異變1 （60%生命/25秒）：
接近玩家，並從自身位置發射一圈扭曲的投射物飛向玩家。","Мутация 0:
Приближается к игроку и создает вокруг него кольцо из снарядов. Эти снаряды движутся к игроку с разной скоростью, а затем исчезают.

Мутация 1 (60% ОЗ/25 с):
Приближается к игроку и запускает от себя крутящееся кольцо снарядов в его сторону.","Mutacja 0:
Zbliża się do gracza i przywołuje wokół niego krąg pocisków, które zbliżają się do postaci z różną prędkością, po czym znikają.

Mutacja 1 (60% PZ / 25 sek.):
Zbliża się do gracza i wystrzeliwuje w jego stronę wirujący krąg pocisków.","Mutación 0:
Se abalanza sobre el jugador e invoca un círculo de proyectiles a su alrededor. Los proyectiles se dirigen hacia el jugador a velocidades distintas antes de desaparecer.

Mutación 1 (60 % de PS / 25 s):
Se abalanza sobre el jugador y dispara un círculo de proyectiles que se dirigen en zigzag hacia el jugador.","Mutação 0:
Se aproxima do jogador e gera um círculo de projéteis ao redor dele. Esses projéteis movem-se em direção ao jogador com velocidades diversas antes de desaparecerem.

Mutação 1 (60% de PV/25 seg):
Cerca o jogador e dispara um círculo rodopiante de projéteis em direção ao jogador.","Mutation 0:
Nähert sich dem Spieler und spawnt einen Projektilkreis um ihn herum. Diese Projektile bewegen sich unterschiedlich schnell auf den Spieler zu, bevor sie verschwinden.

Mutation 1 (60% HP/25 Sek.):
Nähert sich dem Spieler und feuert einen sich drehenden Projektilkreis auf den Spieler ab.","Mutasyon 0:
Oyuncuya yaklaşır ve etrafında bir mermi çemberi ortaya çıkarır. Bu mermiler, kaybolmadan önce farklı hızlarda oyuncuya doğru hareket eder.

Mutasyon 1 (%60 sağlık/25 saniye):
Oyuncuya yaklaşır ve kendinden oyuncuya doğru kıvrımlı bir mermi çemberi fırlatır.","Mutazione 0:
Si avvicina al giocatore e crea un cerchio di proiettili attorno a lui. Questi proiettili avanzano verso il giocatore a velocità variabili prima di scomparire.

Mutazione 1 (60% PS/25 s):
Si avvicina al giocatore e spara un cerchio serpeggiante di proiettili da sé verso il giocatore."
"BLOBFISH_NAME","Blobfish","Blobfish","水滴鱼","ブロブフィッシュ","심해어","水滴魚","Рыба-капля","Blobfish","Pez borrón","Peixe Bolha","Blobfisch","Damla Balığı","Pesce blob"
"BLOBFISH_BEHAVIOUR_DESCRIPTION","Slowly wanders around until killed, then spawns 4 Lampreys. If the last player weapon hit was done by a melee weapon, it spawns only 2 Lampreys.","Se déplace lentement. Quand il meurt, fait apparaître 4 lamproies. Si le dernier coup du joueur a été effectué avec une arme de mêlée, seules 2 lamproies apparaissent.","缓慢游荡直到被杀，然后生成4个七鳃鳗。如果玩家最后命中它的武器是近战，则只生成2个七鳃鳗。","ゆっくりと動き回り、倒されるとランプレイを4体出現させる。近接武器で倒すと、出現するランプレイは2体になる。","천천히 돌아다니다가 처치되면 칠성장어 4마리를 생성합니다. 플레이어가 마지막으로 사용하여 적중한 무기가 근접 무기이면, 칠성장어를 2마리만 생성합니다.","緩慢遊蕩直到被殺，然後生成4個七鰓鰻。如果玩家最後命中它的武器是近戰，則只生成2個七鰓鰻。","Медленно блуждает, пока не будет убита. После смерти порождает 4 миноги. Если последний удар игрок нанес оружием ближнего боя, то порождает только 2 миноги.","Wędruje powoli wkoło, a po śmierci przywołuje 4 minogi. Jeśli ostatnie trafienie gracza pochodziło od broni do walki wręcz, przywołuje tylko 2 minogi.","Se mueve despacio hasta que muere y, después, invoca 4 lampreas. Si el último golpe que le propina un jugador antes de morir es con un arma cuerpo a cuerpo, invoca solo 2 lampreas.","Vaga lentamente ao redor até ser eliminado, então gera 4 Lampreias. Se o último golpe do jogador for de uma arma corpo a corpo, gera apenas 2 Lampreias.","Wandert langsam umher, bis er getötet wird, spawnt dann 4 Neunaugen. Wenn der letzte Waffentreffer des Spielers durch eine Nahkampfwaffe erzeugt wurde, spawnt er nur 2 Neunaugen.","Öldürülene kadar yavaşça dolaşır ve öldüğünde 4 Taşemen ortaya çıkarır. Ancak oyuncunun yaptığı son vuruş bir yakın dövüş silahıyla yapılırsa yalnızca 2 Taşemen ortaya çıkarır.","Vaga lentamente finché non viene ucciso, poi crea 4 Lamprede. Se l'ultimo colpo del giocatore è stato sferrato con un'arma da mischia, crea solo 2 Lamprede."
"CLAM_NAME","Clam","Palourde","蛤蜊","クラム","조개","蛤蜊","Устрица","Małż","Almeja","Amêijoa","Muschel","İstiridye","Vongola"
"CLAM_BEHAVIOUR_DESCRIPTION","Runs away if the player is too close, Fires a slow projectile that may directly target the player or somewhere near.","S'éloigne si le joueur est trop près. Tire 1 projectile lent qui peut cibler directement le joueur ou quelqu'un à proximité.","太接近时逃离角色，发射一个可能瞄准玩家也可能瞄准玩家附近的缓慢投射物。","プレイヤーが近づくと逃げ、低速の弾を発射する。弾はプレイヤーかその近くに向かって飛ぶ。","플레이어가 너무 가까이에 있으면 반대쪽으로 달아나고, 플레이어 또는 그 근처를 직접 조준하는 느린 투사체를 발사합니다.","太接近時逃離角色，發射一個可能瞄準玩家也可能瞄準玩家附近的緩慢投射物。","Убегает, если игрок слишком близко. Стреляет медленными снарядами, которые могут быть нацелены напрямую в игрока или куда-то рядом.","Ucieka, jeśli gracz zanadto się zbliży. Wystrzeliwuje powolny pocisk wycelowany prosto w gracza lub w jego pobliże.","Huye si el jugador se acerca demasiado y dispara un proyectil lento que puede dirigirse hacia el jugador o un lugar cercano a él.","Foge se o jogador está muito perto, dispara um projétil lento que pode ter como alvo o jogador ou um local próximo.","Läuft weg, wenn der Spieler zu nahe kommt, feuert ein langsames Projektil ab, das den Spieler direkt oder in der Nähe anvisiert.","Oyuncu çok yaklaştığında kaçar. Oyuncuyu veya yakınındaki bir noktayı doğrudan hedef alabilen yavaş bir mermi fırlatır.","Scappa se il giocatore è troppo vicino, spara un proiettile lento che può essere diretto verso il giocatore o verso un punto nelle vicinanze."
"COLOSSAL_SQUID_NAME","Colossal Squid","Pieuvre géante","巨乌贼","ダイオウホズキイカ","거대 오징어","巨烏賊","Гигантский кальмар","Wielka kałamarnica","Calamar colosal","Lula-colossal","Riesenkalamar","Dev Kalamar","Calamaro colossale"
"COLOSSAL_SQUID_BEHAVIOUR_DESCRIPTION","Closes in on the player and fires two crossing spikes toward them.","S'approche du joueur et tire 2 piques à trajectoire croisée vers lui.","接近玩家，向玩家发射两个交叉的尖刺。","プレイヤーに近づき、2本のクロスするスパイクを発射して攻撃する。","플레이어에게 접근한 후 플레이어를 향해 교차하는 가시 2개를 발사합니다.","接近玩家，向玩家發射兩個交叉的尖刺。","Приближается к игроку и выпускает в его сторону два перекрещивающихся шипа.","Zbliża się do gracza i wystrzeliwuje w jego stronę dwa krzyżujące się szpikulce.","Se abalanza sobre el jugador y le dispara dos pinchos que se cruzan.","Cerca o jogador e dispara dois espinhos cruzados em direção a ele.","Nähert sich dem Spieler und feuert zwei sich kreuzende Stacheln auf ihn ab.","Oyuncuya yaklaşır ve ona doğru çapraz şekilde iki diken fırlatır.","Si avvicina al giocatore e spara due aculei incrociati verso di lui."
"CRAB_NAME","Crab","Crabe","螃蟹","カニ","게","螃蟹","Краб","Krab","Cangrejo","Caranguejo","Krabbe","Yengeç","Granchio"
"CRAB_BEHAVIOUR_DESCRIPTION","Closes in on the player and then fires a spike and moves backwards.","S'approche du joueur et tire 1 pique avant de reculer.","接近玩家，发射一根尖刺然后后退。","プレイヤーに近づき、スパイクを1本発射して後退する。","플레이어에게 접근한 후 가시를 발사하고 뒤로 물러납니다.","接近玩家，發射一根尖刺然後後退。","Приближается к игроку, затем выстреливает шип и отходит назад.","Zbliża się do gracza, wystrzeliwuje w jego stronę szpikulec, po czym się cofa.","Se abalanza sobre el jugador y, luego, dispara un pincho y retrocede.","Cerca o jogador, dispara um espinho e então recua.","Nähert sich dem Spieler, feuert dann einen Stachel ab und bewegt sich zurück.","Oyuncuya yaklaşır, ardından bir diken fırlatıp geriye çekilir.","Si avvicina al giocatore, poi spara un aculeo e indietreggia."
"DEAD_WHALE_NAME","Dead Whale","Baleine morte","尸变鲸鱼","シニクジラ","죽은 고래","屍變鯨魚","Мертвый кит","Martwy wieloryb","Ballena muerta","Baleia Morta","Toter Wal","Ölü Balina","Balena morta"
